Latitude,Elevation,Azimuth,units,Stick Height,Shadow Length,Angle (rad),Angle (deg),Calc Angle (deg),Error (deg)
-45.2000000,21.2429888,180.0000000,,1001,-2575,2.770832557,158.7570112,158.64,0.117011228
-41.8000000,23.8059435,180.0000000,cm,75,-170,2.726100558,156.1940565,155.24,0.954056482
-37.8000000,28.8022570,180.0000000,mm,425,-773,2.638898437,151.197743,151.24,-0.042256999
-35.2000000,30.8081089,180.0000000,,58.2,-97.6,2.603889718,149.1918911,148.64,0.551891143
-30.0000000,36.8698977,180.0000000,m,1.2,-1.6,2.498091545,143.1301024,143.44,-0.309897646
-27.4000000,39.2373672,180.0000000,cm,14.7,-18,2.456771408,140.7626329,140.84,-0.077367113
-27.2000000,40.5391518,180.0000000,mm,1300,-1520,2.43405098,139.4608483,140.64,-1.179151741
34.0000000,80.4186013,0.0000000,cm,23.4,3.95,1.40356937,80.41860118,79.44,0.978601179
34.0000000,81.4225444,0.0000000,inch,12,1.81,1.421091483,81.42254428,79.44,1.982544281
34.1000000,79.6738896,0.0000000,cm,118.55,21.6,1.390571701,79.67388956,79.34,0.333889558
37.0000000,76.9447529,0.0000000,inch,69,16,1.342939278,76.94475278,76.44,0.504752776
37.8000000,75.9637566,0.0000000,inch,48,12,1.325817664,75.96375653,75.64,0.323756532
42.0000000,69.0265067,0.0000000,inch,30,11.5,1.204739811,69.02650658,71.44,-2.413493421
44.1000000,69.7963849,0.0000000,inch,62.5,23,1.218176721,69.79638483,69.34,0.456384832
44.2000000,69.3602809,0.0000000,inch,60,22.6,1.210565271,69.36028083,69.24,0.120280828
45.4000000,66.8643028,0.0000000,cm,110,47,1.167002235,66.86430274,68.04,-1.175697257
45.6000000,68.4872942,0.0000000,inch,12,4.73,1.195328778,68.48729413,67.84,0.647294129
47.0000000,65.2604912,0.0000000,inch,51,23.5,1.139010442,65.26049113,66.44,-1.17950887
50.9000000,61.3360430,0.0000000,cm,150,82,1.070515899,61.33604289,62.54,-1.20395711
52.2000000,61.0018777,0.0000000,mm,293,162.4,1.064683615,61.00187766,61.24,-0.23812234
52.3000000,60.9592971,0.0000000,mm,210,116.6,1.063940443,60.95929702,61.14,-0.18070298
52.5000000,60.7199246,0.0000000,cm,150.7,84.5,1.059762605,60.71992458,60.94,-0.22007542
53.4000000,58.8150254,0.0000000,mm,152,92,1.026515842,58.81502534,60.04,-1.224974659
53.6000000,60.2093960,0.0000000,cm,121.4,69.5,1.050852199,60.20939589,59.84,0.369395888
53.8000000,62.8448447,0.0000000,cm,42.5,21.8,1.096849457,62.84484462,59.64,3.204844619
59.2000000,54.2587455,0.0000000,cm,119.5,86,0.946993757,54.25874548,54.24,0.018745483
59.4000000,53.7461623,0.0000000,cm,150,110,0.938047492,53.74616226,54.04,-0.293837737
61.5000000,52.3139138,0.0000000,cm,80,61.8,0.91305004,52.31391377,51.94,0.373913775
61.5000000,53.7197466,0.0000000,mm,1692,1242,0.93758645,53.71974651,51.94,1.779746506
66.9000000,46.6683375,0.0000000,cm,79.5,75,0.814516145,46.66833745,46.54,0.128337448
