C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
----;----------------------------------------------------------------------;---;---------------------------------------;---------------------------------------;---------------------------------------;-----------------------------------;--------------------;----------;--------------;------------;------------;------------;---------;---------;---------;---------;---------;---------------------;-----;----
1   ;HIP 67929                          * p Vir                            ;PM*;13 54 42.1451337000 -01 30 11.241795960;13 54 42.1466985482 -01 30 11.240230833;13 52 07.9025010824 -01 15 28.183497116;333.4658220930502 +57.5690683015092;-86.260 -21.309     ;13.0011   ;v    -7.17    ;-7.17       ;-0.000024   ;-7.17       ;     ~   ;6.258    ;5.159    ;     ~   ;     ~   ;K1/2II/III           ;  78 ;   0
2   ;HIP 91926                          * eps02 Lyr                        ;** ;18 44 22.78056 +39 36 45.7851          ;18 44 22.78181 +39 36 45.8064          ;18 42 43.21878 +39 33 33.9519          ;068.79497479 +18.17045419          ;     6.18 50.42     ;20.97     ;v   -24.40    ;-24.40      ;-0.000081   ;-24.40      ;     ~   ;5.43     ;5.23     ;5.93     ;     ~   ;A6Vn+A7Vn            ;  44 ;   0
3   ;HIP 2583                           HD 2942                            ;*  ;00 32 49.0860906288 +28 16 48.867236220;00 32 49.0883703144 +28 16 48.873403207;00 30 10.4505250394 +28 00 15.891191488;117.9622468723210 -34.4117699015742;   -5.461 6.118     ;6.077     ;v   -10.50    ;-10.50      ;-0.000035   ;-10.50      ;8.12     ;7.32     ;6.33     ;5.61     ;5.09     ;G8III                ;  45 ;   0
4   ;HIP 79374                          * nu. Sco                          ;** ;16 11 59.73568 -19 27 38.5361          ;16 11 59.73761 -19 27 38.5225          ;16 09 05.09241 -19 19 56.5986          ;354.60869415 +22.70020680          ;   -7.65 -23.71     ;6.88      ;v     2.4     ;2.4         ;0.000008    ;2.40        ;3.42     ;4.05     ;4.00     ;3.90     ;3.87     ;B2V                  ; 371 ;   0
5   ;HIP 31205                          V* HR CMa                          ;EB*;06 32 46.8731198040 -11 09 58.987412460;06 32 46.8745652704 -11 09 59.008406425;06 30 26.2289687085 -11 07 41.494644331;220.8488120546074 -09.1665520735975;  -14.835 5.028     ;5.0237    ;v     2.856060;2.856060    ;0.000010    ;2.86        ;8.12     ;7.35     ;6.24     ;5.49     ;5.01     ;G9III:Ba3.5          ; 176 ;   0
6   ;HIP 94556                          HD 179433                          ;PM*;19 14 39.5609534856 -45 11 36.698965080;19 14 39.5626313550 -45 11 36.677199395;19 11 01.5475768888 -45 16 47.948731640;352.4253361877890 -22.7652294012260; 47.604 -39.804     ;9.9058    ;v   -34.70    ;-34.70      ;-0.000116   ;-34.70      ;     ~   ;6.812    ;5.909    ;     ~   ;     ~   ;G8III                ;  21 ;   0
7   ;HIP 74418                          HD 134597                          ;*  ;15 12 31.2031298496 -48 13 08.376220056;15 12 31.2061531302 -48 13 08.367475021;15 09 02.4284355257 -48 01 51.521595627;325.8115698591363 +08.2856622320771;-25.315 -41.286     ;6.9782    ;v   -42.67    ;-42.67      ;-0.000142   ;-42.67      ;     ~   ;7.456    ;6.332    ;     ~   ;     ~   ;K2III                ;  14 ;   0
8   ;HIP 11670                          HD 15524                           ;PM*;02 30 32.3533307604 +25 14 06.102857207;02 30 32.3555271882 +25 14 06.097912201;02 27 39.3949019985 +25 00 52.431958319;149.6246069007398 -32.4493663734215; 63.313 -75.562     ;18.3024   ;v    -9.60    ;-9.60       ;-0.000032   ;-9.60       ;     ~   ;6.291    ;5.879    ;     ~   ;     ~   ;F6IV                 ;  66 ;   0
9   ;HIP 75369                          HD 137390                          ;*  ;15 24 05.1165890736 +45 16 15.712675392;15 24 05.1167971992 +45 16 15.722421073;15 22 23.8429949806 +45 26 48.709630393;074.0796528662529 +54.7276674438813;  -14.080 2.439     ;6.4102    ;v   -11.167400;-11.167400  ;-0.000037   ;-11.17      ;     ~   ;7.270    ;6.055    ;     ~   ;     ~   ;K2III                ;  33 ;   0
10  ;HIP 100714                         HD 194882                          ;** ;20 25 05.0085789912 +59 36 00.355997340;20 25 05.0106097507 +59 36 00.377424890;20 24 02.8708425734 +59 26 09.862613798;094.5449779630086 +12.3773906747446;   1.505 -9.905     ;3.6439    ;v   -21.00    ;-21.00      ;-0.000070   ;-21.00      ;     ~   ;6.523    ;6.441    ;     ~   ;     ~   ;A2IVs                ;  59 ;   0
11  ;HIP 107556                         * del Cap                          ;EB*;21 47 02.4442395 -16 07 38.233507      ;21 47 02.4455415 -16 07 38.214988      ;21 44 16.9940493 -16 21 18.413005      ;037.6006140604 -46.0133023018      ; 261.70 -296.70     ;84.27     ;v    -3.40    ;-3.40       ;-0.000011   ;-3.40       ;3.22     ;3.12     ;2.83     ;2.59     ;2.43     ;kA5hF0mF2III         ; 269 ;   0
12  ;HIP 50234                          HD 89015                           ;*  ;10 15 20.8715822856 -36 31 03.778152096;10 15 20.8737925595 -36 31 03.795094181;10 13 09.1775984294 -36 16 06.596468853;271.0750647064226 +16.5194653816475;  -28.983 7.734     ;8.3563    ;v    27.71    ;27.71       ;0.000092    ;27.71       ;     ~   ;7.228    ;6.158    ;     ~   ;     ~   ;K0III                ;  21 ;   0
13  ;HIP 75110                          * 28 Lib                           ;PM*;15 20 53.6779374600 -18 09 31.178211804;15 20 53.6798954398 -18 09 31.168739812;15 18 03.2605288817 -17 58 42.061357116;345.7779325425015 +32.0069303253823; -6.348 -61.058     ;6.0838    ;v     3.3     ;3.3         ;0.000011    ;3.30        ;     ~   ;7.17     ;6.17     ;     ~   ;     ~   ;G8II/III             ;  28 ;   0
14  ;HIP 26019                          HD 36874                           ;RG*;05 33 07.3874120568 -35 08 21.747176700;05 33 07.3884054073 -35 08 21.765875282;05 31 19.9605292822 -35 10 21.676423502;239.6192682375638 -30.4199004664640; 99.637 -26.906     ;11.2133   ;v    35.361   ;35.361      ;0.000118    ;35.36       ;     ~   ;6.852    ;5.758    ;     ~   ;     ~   ;K0III                ;  29 ;   0
