#,id,typ,icrs_ra_h,icrs_ra_m,icrs_ra_s,icrs_dec_d,icrs_dec_m,icrs_dec_s,fk5_ra_h,fk5_ra_m,fk5_ra_s,fk5_dec_d,fk5_dec_m,fk5_dec_s,fk4_ra_h,fk4_ra_m,fk4_ra_s,fk4_dec_d,fk4_dec_m,fk4_dec_s,gal_ra,gal_dec,pm_ra,pm_dec,plx,Umag,Bmag,Vmag,Rmag,Gmag,Imag,spec.type
1,HD 200253,*,21,01,12.8647634688,+36,01,33.642578532,21,01,12.8666656468,+36,01,33.663043874,20,59,13.3058119725,+35,49,44.626013789,079.5140146728530,-06.7741633566044,-4.819,-5.156,5.39,~,7.000,5.997,~,5.763,~,G5III
2,* 61 Cyg B,Er*,21,06,55.2638444466,+38,44,31.358519864,21,06,55.2658125400,+38,44,31.378786024,21,04,40.7326041742,+38,29,47.772808824,082.3171310715589,-05.8262372280102,4105.976,3155.942,286.01,8.63,7.40,6.03,4.86,5.451,3.55,K7V
3,* tau Cyg,dS*,21,14,47.49252,+38,02,43.1441,21,14,47.49452,+38,02,43.1641,21,12,47.42485,+37,49,52.7294,082.85375885,-07.43227359,196.99,410.28,49.16,4.140,4.120,3.730,3.38,3.570,3.14,F2IV
4,* 61 Cyg A,BY*,21,06,53.9395895022,+38,44,57.902349973,21,06,53.9415576075,+38,44,57.922616927,21,04,39.1711760490,+38,30,09.717572903,082.3197403091576,-05.8181041502094,4164.209,3249.614,285.99,7.50,6.39,5.21,4.19,4.767,3.54,K5V
5,* sig Cyg,sg*,21,17,24.9524404,+39,23,40.852798,21,17,24.9544692,+39,23,40.872665,21,15,26.9593931,+39,11,03.503453,084.1943267398,-06.8723420796,-0.13,-3.58,1.13,3.98,4.37,4.24,4.06,4.125,3.92,A0Ia
6,V* V1334 Cyg,cC*,21,19,22.1791528656,+38,14,14.868825648,21,19,22.1811702101,+38,14,14.888613890,21,17,22.3876117964,+38,01,31.803897375,083.6216473174644,-07.9500630399885,2.293,0.226,1.08,~,6.364,5.882,~,5.725,~,F1II+B7.0V
7,* 74 Cyg,*,21,36,56.9752120080,+40,24,48.692268180,21,36,56.9773534088,+40,24,48.711282453,21,34,56.5190086567,+40,11,17.567781250,087.6175779498485,-08.7608529610766,-1.228,11.238,15.29,~,5.220,5.035,~,4.980,~,A3Vn
8,HD 206749,V*,21,43,06.4713509160,+41,09,17.902709244,21,43,06.4735381536,+41,09,17.921425694,21,41,05.6968741997,+40,55,32.508279853,088.9968727655370,-08.9875219606967,-18.324,-13.938,5.72,~,7.106,5.505,~,4.720,~,M2IIIbCa1
9,HD 207673,*,21,49,40.0940581200,+41,08,55.633325604,21,49,40.0962761506,+41,08,55.651709925,21,47,37.8587980533,+40,54,53.975664604,089.9421170580876,-09.7970842592104,-2.786,-5.960,0.62,6.97,6.90,6.48,~,6.344,~,A2Ib
10,* 77 Cyg,SB*,21,42,22.9588733,+41,04,37.273655,21,42,22.9610553,+41,04,37.292407,21,40,22.0608275,+40,50,53.038278,088.8409358045,-08.9557694766,23.48,-1.02,7.91,~,5.777,5.726,~,5.708,~,A0V+A0V
11,* 76 Cyg,PM*,21,41,34.2554097048,+40,48,18.790889112,21,41,34.2575816088,+40,48,18.809681164,21,39,33.3896237893,+40,34,38.940935789,088.5423034881863,-09.0576418617526,-17.104,-48.370,7.33,~,6.132,6.075,~,6.070,~,A2V
12,HD 211211,PM*,22,14,44.3613363960,+42,57,14.038829388,22,14,44.3637198198,+42,57,14.055808182,22,12,38.0715725436,+42,42,18.934132702,094.8125151542889,-11.2013233158983,49.458,-21.212,12.16,5.680,5.720,5.720,~,5.710,~,A2Vnn
