RA - Decimal,Dec - Decimal,Prop.motion RA,Prop.motion Dec,Mag V ,Red,Green,Blue,identifier             
101.2871553333,-16.7161158611,-546.0100000000,-1223.0700000000,-1.46,0.6109,0.6919,1.0000,* alf CMa
95.9879578333,-52.6956613889,19.9300000000,23.2400000000,-0.74,0.8520,0.8621,1.0000,* alf Car
108.1500000000,-27.6666666667,~,~,-0.1,0.8000,0.8000,0.8000,NAME CMa Dwarf Galaxy
219.8738330417,-60.8322219444,-3608.0000000000,686.0000000000,-0.1,1.0000,0.8929,0.8238,* alf Cen
213.9153002917,19.1824091667,-1093.3900000000,-2000.0600000000,-0.05,1.0000,0.8221,0.6541,* alf Boo
219.9020583333,-60.8339926944,-3679.2500000000,473.6700000000,0.01,1.0000,0.8929,0.8238,* alf Cen A
279.2347347917,38.7836889444,200.9400000000,286.2300000000,0.03,0.6109,0.6919,1.0000,* alf Lyr
79.1723279583,45.9979914722,75.2500000000,-426.8900000000,0.08,1.0000,0.8836,0.8000,* alf Aur
341.8661980989,58.1232363273,-3.2410000000,-2.5520000000,0.128,0.8000,0.8000,0.8000,2MASS J22472789+5807236
78.6344670833,-8.2016383611,1.3100000000,0.5000000000,0.13,0.5496,0.6441,1.0000,* bet Ori
114.8254979167,5.2249875556,-714.5900000000,-1036.8000000000,0.37,0.9937,0.9526,1.0000,* alf CMi
80.8941666667,-69.7561111111,1.9100000000,0.2290000000,0.4,0.8000,0.8000,0.8000,NAME LMC
88.7929390000,7.4070640000,27.5400000000,11.3000000000,0.42,1.0000,0.6480,0.3346,* alf Ori
24.4285228333,-57.2367528056,87.0000000000,-38.2400000000,0.46,0.5340,0.6316,1.0000,* alf Eri
210.9558556250,-60.3730351667,-33.2700000000,-23.1600000000,0.58,0.4701,0.5784,1.0000,* bet Cen
297.6958272917,8.8683211944,536.2300000000,385.2900000000,0.76,0.7652,0.8035,1.0000,* alf Aql
68.9801627917,16.5093023611,63.4500000000,-188.9400000000,0.86,1.0000,0.7360,0.4803,* alf Tau
247.3519154167,-26.4320026111,-12.1100000000,-23.3000000000,0.91,1.0000,0.6789,0.3823,* alf Sco
201.2982473750,-11.1613194722,-42.3500000000,-30.6700000000,0.97,0.4701,0.5784,1.0000,* alf Vir
260.9237916667,30.4973888889,~,~,1.07,0.8000,0.8000,0.8000,SN 2009jb
116.3289577917,28.0261988889,-626.5500000000,-45.8000000000,1.14,1.0000,0.8330,0.6787,* bet Gem
344.4126927083,-29.6222370278,328.9500000000,-164.6700000000,1.16,0.7004,0.7579,1.0000,* alf PsA
310.3579797500,45.2803388056,2.0100000000,1.8500000000,1.25,0.6504,0.7215,1.0000,* alf Cyg
191.9302865417,-59.6887720000,-42.9700000000,-16.1800000000,1.25,0.4701,0.5784,1.0000,* bet Cru
186.6495666667,-63.0990916667,-35.4000000000,-14.7000000000,1.28,0.4509,0.5617,1.0000,* alf01 Cru
219.8960962917,-60.8375275556,-3614.3900000000,802.9800000000,1.33,1.0000,0.8221,0.6541,* alf Cen B
152.0929624583,11.9672087778,-248.7300000000,5.5900000000,1.4,0.5496,0.6441,1.0000,* alf Leo
104.6564531667,-28.9720861667,3.2400000000,1.3300000000,1.5,0.4701,0.5784,1.0000,* eps CMa
113.6494716250,31.8882822222,-191.4500000000,-145.1900000000,1.58,0.6324,0.7081,1.0000,* alf Gem
186.6518416667,-63.0995222222,-42.5000000000,-7.7000000000,1.58,0.4701,0.5784,1.0000,* alf02 Cru
263.4021671667,-37.1038235556,-8.5300000000,-30.8000000000,1.62,0.4799,0.5868,1.0000,* lam Sco
81.2827635417,6.3497032778,-8.1100000000,-12.8800000000,1.64,0.4799,0.5868,1.0000,* gam Ori
187.7914983750,-57.1132134444,28.2300000000,-265.0800000000,1.64,1.0000,0.6318,0.3112,* gam Cru
81.5729713333,28.6074517222,22.7600000000,-173.5800000000,1.65,0.5370,0.6340,1.0000,* bet Tau
84.0533889583,-1.2019191389,1.4400000000,-0.7800000000,1.69,0.4509,0.5617,1.0000,* eps Ori
138.2999060833,-69.7172075833,-156.4700000000,108.9500000000,1.69,0.6324,0.7081,1.0000,* bet Car
332.0582697083,-46.9609743889,126.6900000000,-147.4700000000,1.71,0.5340,0.6316,1.0000,* alf Gru
193.5072899675,55.9598229569,111.9100000000,-8.2400000000,1.77,0.6324,0.7081,1.0000,* eps UMa
85.1896944167,-1.9425735833,3.1900000000,2.0300000000,1.77,0.8000,0.8000,0.8000,* zet Ori
51.0807087183,49.8611792931,23.7500000000,-26.2300000000,1.79,0.9937,0.9526,1.0000,* alf Per
165.9319646667,61.7510346944,-134.1100000000,-34.7000000000,1.79,0.8000,0.8000,0.8000,* alf UMa
122.3831255417,-47.3365863333,-6.0700000000,10.4300000000,1.83,0.8000,0.8000,0.8000,* gam02 Vel
107.0978502142,-26.3931995789,-3.1200000000,3.3100000000,1.84,1.0000,0.9276,0.9168,* del CMa
264.3297077083,-42.9978280000,5.5400000000,-3.1200000000,1.85,0.8823,0.8819,1.0000,* tet Sco
276.0429933333,-34.3846164722,-39.4200000000,-124.2000000000,1.85,0.5750,0.6642,1.0000,* eps Sgr
206.8851573333,49.3132667222,-121.1700000000,-14.9100000000,1.86,0.5013,0.6047,1.0000,* eta UMa
125.6284802500,-59.5094841944,-25.5200000000,22.0600000000,1.86,1.0000,0.7872,0.5797,* eps Car
165.9319526333,61.7510333417,-136.5000000000,-35.2000000000,1.87,0.8000,0.8000,0.8000,* alf UMa A
85.1896964292,-1.9425723222,4.0000000000,2.5000000000,1.9,0.8000,0.8000,0.8000,* zet Ori A
89.8821788683,44.9474325719,-56.4400000000,-0.9500000000,1.9,0.6324,0.7081,1.0000,* bet Aur
113.6494284500,31.8882761917,-206.3000000000,-148.2000000000,1.9,0.6324,0.7081,1.0000,* alf Gem A
306.4119043750,-56.7350897222,6.9000000000,-86.0200000000,1.918,0.4799,0.5868,1.0000,* alf Pav
99.4279604167,16.3992804167,13.8100000000,-54.9600000000,1.92,0.6324,0.7081,1.0000,* gam Gem
252.1662295000,-69.0277118333,17.9900000000,-31.5800000000,1.92,1.0000,0.7992,0.6045,* alf TrA
131.1759440833,-54.7088192500,28.9900000000,-103.3500000000,1.95,0.6504,0.7215,1.0000,* del Vel
95.6749389696,-17.9559187089,-3.2300000000,-0.7800000000,1.97,0.4701,0.5784,1.0000,* bet CMa
141.8968445833,-8.6585995278,-15.2300000000,34.3700000000,1.97,1.0000,0.7872,0.5797,* alf Hya
154.9931435917,19.8414886667,310.8000000000,-152.9000000000,1.98,1.0000,0.8221,0.6541,* gam01 Leo
10.8973787500,-17.9866063056,232.5500000000,31.9900000000,2.01,0.8000,0.8000,0.8000,* bet Cet
31.7933570833,23.4624175556,188.5500000000,-148.0800000000,2.01,1.0000,0.7992,0.6045,* alf Ari
125.6284741000,-59.5094807000,-25.3000000000,22.7000000000,2.01,1.0000,0.7872,0.5797,* eps Car A
37.9545606667,89.2641089722,44.4800000000,-11.8500000000,2.02,1.0000,0.9276,0.9168,* alf UMi
17.4330161667,35.6205576389,175.9000000000,-112.2000000000,2.05,1.0000,0.6789,0.3823,* bet And
211.6706146667,-36.3699547500,-520.5300000000,-518.0600000000,2.05,1.0000,0.8330,0.6787,* tet Cen
86.9391201683,-9.6696049186,1.4600000000,-1.2800000000,2.06,0.4509,0.5617,1.0000,* kap Ori
