RA - Decimal,Dec - Decimal,Mag V ,Red,Green,Blue,identifier             
101.2871553,-16.71611586,-1.460,0.6109,0.6919,1.0000,* alf CMa                          
95.98795783,-52.69566139,-0.740,0.8520,0.8621,1.0000,* alf Car                          
108.15,-27.66666667,-0.100,0.8000,0.8000,0.8000,NAME CMa Dwarf Galaxy              
219.873833,-60.83222194,-0.100,1.0000,0.8929,0.8238,* alf Cen                          
213.9153003,19.18240917,-0.050,1.0000,0.8221,0.6541,* alf Boo                          
219.9020583,-60.83399269,0.010,1.0000,0.8929,0.8238,* alf Cen A                        
279.2347348,38.78368894,0.030,0.6109,0.6919,1.0000,* alf Lyr                          
79.17232796,45.99799147,0.080,1.0000,0.8836,0.8000,* alf Aur                          
341.866227,58.123245,0.128,0.8000,0.8000,0.8000,2MASS J22472789+5807236            
78.63446708,-8.201638361,0.130,0.5496,0.6441,1.0000,* bet Ori                          
114.8254979,5.224987556,0.370,0.9937,0.9526,1.0000,* alf CMi                          
80.89416667,-69.75611111,0.400,0.8000,0.8000,0.8000,NAME LMC                           
88.792939,7.407064,0.420,1.0000,0.6480,0.3346,* alf Ori                          
24.42852283,-57.23675281,0.460,0.5340,0.6316,1.0000,* alf Eri                          
210.9558556,-60.37303517,0.580,0.4701,0.5784,1.0000,* bet Cen                          
297.6958273,8.868321194,0.760,0.7652,0.8035,1.0000,* alf Aql                          
68.98016279,16.50930236,0.860,1.0000,0.7360,0.4803,* alf Tau                          
247.3519154,-26.43200261,0.910,1.0000,0.6789,0.3823,* alf Sco                          
201.2982474,-11.16131947,0.970,0.4701,0.5784,1.0000,* alf Vir                          
260.9237917,30.49738889,1.070,0.8000,0.8000,0.8000,SN 2009jb                          
116.3289578,28.02619889,1.140,1.0000,0.8330,0.6787,* bet Gem                          
344.4126927,-29.62223703,1.160,0.7004,0.7579,1.0000,* alf PsA                          
310.3579798,45.28033881,1.250,0.6504,0.7215,1.0000,* alf Cyg                          
191.9302865,-59.688772,1.250,0.4701,0.5784,1.0000,* bet Cru                          
186.6495667,-63.09909167,1.280,0.4509,0.5617,1.0000,* alf01 Cru                        
219.8960963,-60.83752756,1.330,1.0000,0.8221,0.6541,* alf Cen B                        
152.0929625,11.96720878,1.400,0.5496,0.6441,1.0000,* alf Leo                          
104.6564532,-28.97208617,1.500,0.4701,0.5784,1.0000,* eps CMa                          
113.6494716,31.88828222,1.580,0.6324,0.7081,1.0000,* alf Gem                          
186.6518417,-63.09952222,1.580,0.4701,0.5784,1.0000,* alf02 Cru                        
263.4021672,-37.10382356,1.620,0.4799,0.5868,1.0000,* lam Sco                          
81.28276354,6.349703278,1.640,0.4799,0.5868,1.0000,* gam Ori                          
187.7914984,-57.11321344,1.640,1.0000,0.6318,0.3112,* gam Cru                          
81.57297133,28.60745172,1.650,0.5370,0.6340,1.0000,* bet Tau                          
84.05338896,-1.201919139,1.690,0.4509,0.5617,1.0000,* eps Ori                          
138.2999061,-69.71720758,1.690,0.6324,0.7081,1.0000,* bet Car                          
332.0582697,-46.96097439,1.710,0.5340,0.6316,1.0000,* alf Gru                          
193.50729,55.95982296,1.770,0.6324,0.7081,1.0000,* eps UMa                          
85.18969442,-1.942573583,1.770,0.8000,0.8000,0.8000,* zet Ori                          
51.08070872,49.86117929,1.790,0.9937,0.9526,1.0000,* alf Per                          
165.9319647,61.75103469,1.790,0.8000,0.8000,0.8000,* alf UMa                          
122.3831255,-47.33658633,1.830,0.8000,0.8000,0.8000,* gam02 Vel                        
107.0978502,-26.39319958,1.840,1.0000,0.9276,0.9168,* del CMa                          
264.3297077,-42.997828,1.850,0.8823,0.8819,1.0000,* tet Sco                          
276.0429933,-34.38461647,1.850,0.5750,0.6642,1.0000,* eps Sgr                          
206.8851573,49.31326672,1.860,0.5013,0.6047,1.0000,* eta UMa                          
125.6284803,-59.50948419,1.860,1.0000,0.7872,0.5797,* eps Car                          
165.9319526,61.75103334,1.870,0.8000,0.8000,0.8000,* alf UMa A                        
85.18969643,-1.942572322,1.900,0.8000,0.8000,0.8000,* zet Ori A                        
89.88217887,44.94743257,1.900,0.6324,0.7081,1.0000,* bet Aur                          
113.6494285,31.88827619,1.900,0.6324,0.7081,1.0000,* alf Gem A                        
306.4119044,-56.73508972,1.918,0.4799,0.5868,1.0000,* alf Pav                          
99.42796042,16.39928042,1.920,0.6324,0.7081,1.0000,* gam Gem                          
252.1662295,-69.02771183,1.920,1.0000,0.7992,0.6045,* alf TrA                          
131.1759441,-54.70881925,1.950,0.6504,0.7215,1.0000,* del Vel                          
95.67493897,-17.95591871,1.970,0.4701,0.5784,1.0000,* bet CMa                          
141.8968446,-8.658599528,1.970,1.0000,0.7872,0.5797,* alf Hya                          
154.9931436,19.84148867,1.980,1.0000,0.8221,0.6541,* gam01 Leo                        
10.89737875,-17.98660631,2.010,0.8000,0.8000,0.8000,* bet Cet                          
31.79335708,23.46241756,2.010,1.0000,0.7992,0.6045,* alf Ari                          
125.6284741,-59.5094807,2.010,1.0000,0.7872,0.5797,* eps Car A                        
37.95456067,89.26410897,2.020,1.0000,0.9276,0.9168,* alf UMi                          
17.43301617,35.62055764,2.050,1.0000,0.6789,0.3823,* bet And                          
211.6706147,-36.36995475,2.050,1.0000,0.8330,0.6787,* tet Cen                          
86.93912017,-9.669604919,2.060,0.4509,0.5617,1.0000,* kap Ori                          
2.096916167,29.09043111,2.060,0.5496,0.6441,1.0000,* alf And                          
283.8163604,-26.29672411,2.067,0.4799,0.5868,1.0000,* sig Sgr                          
263.7336227,12.56003739,2.070,0.7260,0.7762,1.0000,* alf Oph                          
222.6763575,74.15550394,2.080,1.0000,0.7750,0.5548,* bet UMi                          
30.97480121,42.32972842,2.100,1.0000,0.7992,0.6045,* gam01 And                        
109.3208333,-36.81666667,2.100,0.8000,0.8000,0.8000,Cl Collinder 135                   
340.6668761,-46.88457644,2.110,1.0000,0.6318,0.3112,* bet Gru                          
47.04221856,40.95564667,2.120,0.5496,0.6441,1.0000,* bet Per                          
177.2649098,14.57205806,2.130,0.6703,0.7362,1.0000,* bet Leo                          
190.3793337,-48.95987153,2.170,0.6324,0.7081,1.0000,* gam Cen                          
13.15833333,-72.80027778,2.200,0.8000,0.8000,0.8000,NAME SMC                           
136.9989911,-43.43259092,2.210,1.0000,0.7750,0.5548,* lam Vel                          
200.9814286,54.92536183,2.220,0.6324,0.7081,1.0000,* zet01 UMa                        
305.557091,40.25667916,2.230,1.0000,0.9276,0.9168,* gam Cyg                          
10.12683778,56.53733116,2.230,1.0000,0.8330,0.6787,* alf Cas                          
269.1515412,51.48889561,2.230,1.0000,0.7360,0.4803,* gam Dra                          
233.67195,26.71469278,2.240,0.6324,0.7081,1.0000,* alf CrB                          
120.8960314,-40.00314781,2.250,0.8000,0.8000,0.8000,* zet Pup                          
139.2725286,-59.27523203,2.260,0.7652,0.8035,1.0000,* iot Car                          
2.294521583,59.14978111,2.270,0.8986,0.8925,1.0000,* bet Cas                          
220.4823158,-47.38819875,2.286,0.4701,0.5784,1.0000,* alf Lup                          
252.5408784,-34.29323159,2.290,1.0000,0.8221,0.6541,* eps Sco                          
204.9719073,-53.46639114,2.300,0.4701,0.5784,1.0000,* eps Cen                          
218.8767673,-42.15782522,2.310,0.4799,0.5868,1.0000,* eta Cen                          
240.0833553,-22.62170642,2.320,0.4509,0.5617,1.0000,* del Sco                          
165.4603189,56.38242609,2.370,0.6324,0.7081,1.0000,* bet UMa                          
6.5710475,-42.30598719,2.370,1.0000,0.8330,0.6787,* alf Phe                          
154.9931273,19.84148522,2.370,1.0000,0.8221,0.6541,* gam Leo                          
265.62198,-39.02998308,2.386,0.4701,0.5784,1.0000,* kap Sco                          
14.17721542,60.71674028,2.390,0.4509,0.5617,1.0000,* gam Cas                          
326.0464839,9.875008653,2.390,1.0000,0.7992,0.6045,* eps Peg                          
221.2467394,27.07422497,2.390,0.6109,0.6919,1.0000,* eps Boo                          
83.00166704,0.299095111,2.410,0.4509,0.5617,1.0000,* del Ori                          
345.9435728,28.08278711,2.420,1.0000,0.6480,0.3346,* bet Peg                          
257.5945287,-15.72490664,2.420,0.6504,0.7215,1.0000,* eta Oph                          
178.4576972,53.69475973,2.440,0.6109,0.6919,1.0000,* gam UMa                          
111.0237595,-29.3031055,2.450,0.5229,0.6225,1.0000,* eta CMa                          
221.2467631,27.07420722,2.450,1.0000,0.8330,0.6787,* eps Boo A                        
319.6448847,62.58557447,2.460,0.8244,0.8437,1.0000,* alf Cep                          
257.5944336,-15.7251428,2.463,0.6504,0.7215,1.0000,* eta Oph A                        
140.5284067,-55.01066713,2.473,0.4799,0.5868,1.0000,* kap Vel                          
346.1902227,15.20526714,2.480,0.5750,0.6642,1.0000,* alf Peg                          
311.5528432,33.97025692,2.480,1.0000,0.8330,0.6787,* eps Cyg                          
83.85,-5.915,2.500,0.8000,0.8000,0.8000,NGC 1980                           
241.3592917,-19.80538889,2.500,0.4701,0.5784,1.0000,* bet Sco                          
253,-38.03333333,2.510,0.8000,0.8000,0.8000,[SC96] Mis 162                     
182.0895735,-50.72242739,2.520,0.4799,0.5868,1.0000,* del Cen                          
45.56988779,4.089738778,2.530,1.0000,0.6480,0.3346,* alf Cet                          
168.5270893,20.52371814,2.530,0.7260,0.7762,1.0000,* del Leo                          
208.8849402,-47.2883745,2.550,0.4799,0.5868,1.0000,* zet Cen                          
249.2897461,-10.56709152,2.560,0.8000,0.8000,0.8000,* zet Oph                          
83.18256716,-17.82228927,2.570,0.8668,0.8718,1.0000,* alf Lep                          
183.951545,-17.54193044,2.580,0.5496,0.6441,1.0000,* gam Crv                          
285.6530427,-29.88006331,2.585,0.6504,0.7215,1.0000,* zet Sgr                          
104.0833333,-24.73,2.600,0.8000,0.8000,0.8000,Cl Collinder 121                   
253.5354583,-41.82666667,2.600,0.8000,0.8000,0.8000,NGC 6231                           
89.93029217,37.21258464,2.620,0.6109,0.6919,1.0000,* tet Aur                          
241.3592999,-19.80545278,2.620,0.4701,0.5784,1.0000,* bet01 Sco                        
229.2517243,-9.382914417,2.620,0.5496,0.6441,1.0000,* bet Lib                          
236.0669763,6.425628687,2.630,1.0000,0.7992,0.6045,* alf Ser                          
188.5968118,-23.3967604,2.640,1.0000,0.8740,0.7760,* bet Crv                          
189.2959079,-69.13556479,2.649,0.4799,0.5868,1.0000,* alf Mus                          
84.9122543,-34.07410972,2.650,0.5750,0.6642,1.0000,* alf Col                          
28.66004579,20.80803147,2.650,0.8000,0.8000,0.8000,* bet Ari                          
275.2485148,-29.82810164,2.668,1.0000,0.7992,0.6045,* del Sgr                          
21.45396446,60.23528403,2.680,0.7260,0.7762,1.0000,* del Cas                          
208.6711622,18.39772072,2.680,1.0000,0.9019,0.8473,* eta Boo                          
224.6330223,-43.13396386,2.680,0.4799,0.5868,1.0000,* bet Lup                          
74.2484212,33.16609958,2.690,1.0000,0.7872,0.5797,* iot Aur                          
161.6924115,-49.42025678,2.690,0.8000,0.8000,0.8000,* mu. Vel                          
109.2856533,-37.09747117,2.700,1.0000,0.7750,0.5548,* pi. Pup                          
262.690988,-37.29581348,2.700,0.4799,0.5868,1.0000,* ups Sco                          
161.6924493,-49.42026029,2.700,0.8000,0.8000,0.8000,* mu. Vel A                        
296.5649179,10.61326133,2.720,1.0000,0.7872,0.5797,* gam Aql                          
200.1492201,-36.71230458,2.730,0.8000,0.8000,0.8000,* iot Cen                          
245.9978776,61.51423545,2.740,1.0000,0.8541,0.7277,* eta Dra                          
190.415181,-1.449372806,2.740,0.8823,0.8819,1.0000,* gam Vir                          
222.7196379,-16.04177653,2.750,0.8000,0.8000,0.8000,* alf02 Lib                        
243.5864105,-3.694322556,2.750,1.0000,0.6789,0.3823,* del Oph                          
265.868136,4.567304301,2.750,1.0000,0.7992,0.6045,* bet Oph                          
183.7863197,-58.74892693,2.752,0.4799,0.5868,1.0000,* del Cru                          
160.7391749,-64.39445022,2.760,0.4509,0.5617,1.0000,* tet Car                          
233.7852015,-41.16675686,2.765,0.4799,0.5868,1.0000,* gam Lup                          
83.85825795,-5.909900983,2.770,0.8000,0.8000,0.8000,* iot Ori                          
247.5549981,21.48961133,2.770,0.8000,0.8000,0.8000,* bet Her                          
76.96243954,-5.086445972,2.790,0.6703,0.7362,1.0000,* bet Eri                          
195.5441577,10.9591504,2.790,1.0000,0.8541,0.7277,* eps Vir                          
6.437793167,-77.25424611,2.790,1.0000,0.9019,0.8473,* bet Hyi                          
83.775,9.933333333,2.800,0.8000,0.8000,0.8000,Cl Collinder 69                    
250.3215043,31.60271869,2.800,1.0000,0.9019,0.8473,* zet Her                          
262.6081737,52.30138871,2.810,1.0000,0.8929,0.8238,* bet Dra                          
121.8860368,-24.30432443,2.810,0.9937,0.9526,1.0000,* rho Pup                          
248.9706369,-28.21601709,2.810,0.4509,0.5617,1.0000,* tau Sco                          
276.9926697,-25.4216985,2.810,1.0000,0.8221,0.6541,* lam Sgr                          
334.6253949,-60.25959064,2.820,1.0000,0.7872,0.5797,* alf Tuc                          
190.3793073,-48.95991232,2.820,0.6324,0.7081,1.0000,* gam Cen A                        
326.7601843,-16.12728709,2.830,0.8000,0.8000,0.8000,* del Cap                          
82.0613465,-20.75944105,2.840,1.0000,0.8740,0.7760,* bet Lep                          
3.308963462,15.18359354,2.840,0.4799,0.5868,1.0000,* gam Peg                          
29.69247779,-61.56985966,2.840,0.8668,0.8718,1.0000,* alf Hyi                          
58.53301031,31.88363368,2.850,0.4701,0.5784,1.0000,* zet Per                          
238.7856753,-63.43072654,2.850,0.8823,0.8819,1.0000,* bet TrA                          
261.3249515,-55.52988521,2.850,1.0000,0.8330,0.6787,* bet Ara                          
296.2436606,45.13081002,2.870,0.6109,0.6919,1.0000,* del Cyg                          
56.8711523,24.10513565,2.870,0.5370,0.6340,1.0000,* eta Tau                          
95.74011192,22.51358275,2.870,1.0000,0.6318,0.3112,* mu. Gem                          
194.0069426,38.31837614,2.880,0.6109,0.6919,1.0000,* alf02 CVn                        
287.4409705,-21.02361398,2.880,0.8986,0.8925,1.0000,* pi. Sgr                          
250.3227706,31.6019369,2.880,0.8000,0.8000,0.8000,* zet Her A                        
190.3792307,-48.95957685,2.880,0.6109,0.6919,1.0000,* gam Cen B                        
59.46346686,40.01021532,2.890,0.4701,0.5784,1.0000,* eps Per                          
111.7876739,8.289315763,2.890,0.5496,0.6441,1.0000,* bet CMi                          
322.8897155,-5.571175557,2.890,1.0000,0.9019,0.8473,* bet Aqr                          
